division_id,identifier,position,abstract,classification,date_accepted,date
ocd-division/country:ca/csd:4811061,2012-0004,4,Consult,,2012-01-03,2012-01-05
ocd-division/country:ca/csd:4811061,2012-0002,2,Fire investigation report,general,2011-12-28,2012-01-09
ocd-division/country:ca/csd:4811061,2012-0007,7,Consult,,2012-01-10,2012-01-10
ocd-division/country:ca/csd:4811061,2012-0003,3,Patient Care Report,general,2011-12-28,2012-01-12
ocd-division/country:ca/csd:4811061,2012-0008,8,Patient Care Report,general,2012-01-11,2012-01-12
ocd-division/country:ca/csd:4811061,2012-0012,12,Consult,,2012-01-12,2012-01-12
ocd-division/country:ca/csd:4811061,2012-0013,13,Patient Care Report,general,2012-01-16,2012-01-16
ocd-division/country:ca/csd:4811061,2012-0014,14,Consult ,,2012-01-16,2012-01-16
ocd-division/country:ca/csd:4811061,2012-0001,1,Fire investigation report,general,2011-12-28,2012-01-17
ocd-division/country:ca/csd:4811061,2012-0005,5,Unclaimed cheques,general,2012-01-09,2012-01-19
ocd-division/country:ca/csd:4811061,2012-0018,18,Fire investigation report,general,2012-01-20,2012-01-24
ocd-division/country:ca/csd:4811061,2012-0021,21,Chemical Spill Records ,general,2012-01-24,2012-01-25
ocd-division/country:ca/csd:4811061,2012-0026,26,Patient Care Report,general,2012-01-25,2012-01-25
ocd-division/country:ca/csd:4811061,2012-0017,17,Fire investigation report,general,2012-01-20,2012-01-26
ocd-division/country:ca/csd:4811061,2012-0025,25,Patient Care Report,general,2012-01-25,2012-01-27
ocd-division/country:ca/csd:4811061,2012-0028,28,Downtown Arena,,2012-01-25,2012-01-27
ocd-division/country:ca/csd:4811061,2012-0022,22,Fire investigation report,general,2012-01-24,2012-01-31
ocd-division/country:ca/csd:4811061,2012-0023,23,Fire investigation report,general,2012-01-24,2012-01-31
ocd-division/country:ca/csd:4811061,2012-0029,29,Patient Care Report,general,2012-01-27,2012-01-31
ocd-division/country:ca/csd:4811061,2012-0034,34,Patient Care Report,general,2012-01-30,2012-01-31
ocd-division/country:ca/csd:4811061,2012-0035,35,Patient Care Report,general,2012-01-31,2012-02-02
ocd-division/country:ca/csd:4811061,2012-0031,31,Animal control records,general,2012-01-30,2012-02-06
ocd-division/country:ca/csd:4811061,2012-0030,30,Sewage dumping,general,2012-01-30,2012-02-07
ocd-division/country:ca/csd:4811061,2012-0009-001,9,Records related to elephant,general,2012-01-11,2012-02-08
ocd-division/country:ca/csd:4811061,2012-0036,36,Consult ,,2012-01-30,2012-02-09
ocd-division/country:ca/csd:4811061,2012-0043,43,Counselling file for named individual,general,2012-02-08,2012-02-09
ocd-division/country:ca/csd:4811061,2012-0046,46,Patient Care Report,general,2012-01-30,2012-02-14
ocd-division/country:ca/csd:4811061,2012-0015,15,Notice of investigation,personal,2012-01-17,2012-02-16
ocd-division/country:ca/csd:4811061,2012-0016,16,"Complaints, incidents, repairs, maintenance & construction re: Manhole on Whitemud Freeway",general,2012-01-17,2012-02-16
ocd-division/country:ca/csd:4811061,2012-0020,20,Notice of investigation,personal,2012-01-24,2012-02-21
ocd-division/country:ca/csd:4811061,2012-0039,39,Fire investigation report,general,2012-02-06,2012-02-21
ocd-division/country:ca/csd:4811061,2012-0019,19,Notice of investigation,general,2012-01-20,2012-02-22
ocd-division/country:ca/csd:4811061,2012-0045,45,Fire investigation report ,general,2012-02-08,2012-02-23
ocd-division/country:ca/csd:4811061,2012-0051,51,Fire investigation report,general,2012-02-13,2012-02-23
ocd-division/country:ca/csd:4811061,2012-0033,33,Noise complaint,general,2012-01-30,2012-02-27
ocd-division/country:ca/csd:4811061,2012-0040,40,Sewer backup and basement flood,general,2012-02-06,2012-02-28
ocd-division/country:ca/csd:4811061,2012-0050,50,Building inspection reports,general,2012-02-13,2012-02-29
ocd-division/country:ca/csd:4811061,2012-0052,52,Personnel & Disability file,general,2012-02-16,2012-02-29
ocd-division/country:ca/csd:4811061,2012-0054,54,Patient Care Report,general,2012-02-14,2012-02-29
ocd-division/country:ca/csd:4811061,2012-0055,55,Animal control records,general,2012-02-17,2012-02-29
ocd-division/country:ca/csd:4811061,2012-0060,60,Building Permit Request,general,2012-02-23,2012-03-02
ocd-division/country:ca/csd:4811061,2012-0042,42,Business license information,general,2012-02-07,2012-03-06
ocd-division/country:ca/csd:4811061,2012-0056,56,Development Permits,general,2012-02-21,2012-03-06
ocd-division/country:ca/csd:4811061,2012-0062,62,Planning and Development Report ,general,2012-02-24,2012-03-06
ocd-division/country:ca/csd:4811061,2012-0006,6,Copy of permit re: deck & cover ,general,2012-01-10,2012-03-08
ocd-division/country:ca/csd:4811061,2012-0038,38,"Permits, Business Licenses",general,2012-02-03,2012-03-08
ocd-division/country:ca/csd:4811061,2012-0037,37,Emails between city employees,general,2012-02-02,2012-03-12
ocd-division/country:ca/csd:4811061,2012-0048,48,Fire investigation report,general,2012-02-14,2012-03-12
ocd-division/country:ca/csd:4811061,2012-0066,66,Patient Care Report,general,2012-03-01,2012-03-12
ocd-division/country:ca/csd:4811061,2012-0071,71,Fire investigation report,general,2012-03-08,2012-03-12
ocd-division/country:ca/csd:4811061,2012-0064,64,Copy of Memorandum Of Understanding between City & Edmonton International Airport,general,2012-02-27,2012-03-15
ocd-division/country:ca/csd:4811061,2012-0068,68,Personnel file,personal,2012-03-06,2012-03-15
ocd-division/country:ca/csd:4811061,2012-0041,41,Dog bite report,general,2012-02-07,2012-03-19
ocd-division/country:ca/csd:4811061,2012-0075,75,Fire investigation report,general,2012-03-15,2012-03-19
ocd-division/country:ca/csd:4811061,2012-0080,80,Consult for Bill Hunter Arena,,2012-03-16,2012-03-19
ocd-division/country:ca/csd:4811061,2012-0065,65,Fire investigation report,general,2012-02-28,2012-03-21
ocd-division/country:ca/csd:4811061,2012-0079,79,Complaints made against RV Storage Business ,general,2012-03-15,2012-03-21
ocd-division/country:ca/csd:4811061,2012-0061,61,Property inspections,general,2012-02-24,2012-03-22
ocd-division/country:ca/csd:4811061,2012-0073,73,Fire investigation report,general,2012-03-15,2012-03-23
ocd-division/country:ca/csd:4811061,2012-0076,76,Fire investigation report,personal,2012-03-15,2012-03-23
ocd-division/country:ca/csd:4811061,2012-0077,77,Fire investigation report,general,2012-03-15,2012-03-23
ocd-division/country:ca/csd:4811061,2012-0084,84,Fire investigation report,general,2012-03-21,2012-03-26
ocd-division/country:ca/csd:4811061,2012-0010,10,"Financial plans, decisions, strategies, funding involving Northlands",general,2012-01-11,2012-03-28
ocd-division/country:ca/csd:4811061,2012-0087,87,Fire investigation report,general,2012-03-22,2012-04-02
ocd-division/country:ca/csd:4811061,2012-0089,89,Patient Care Report,general,2012-03-29,2012-04-03
ocd-division/country:ca/csd:4811061,2012-0091,91,Emergency Services Report,general,2012-04-02,2012-04-03
ocd-division/country:ca/csd:4811061,2012-0069,69,LRT Accident,general,2012-03-06,2012-04-05
