division_id,identifier,alternate_identifier,position,abstract,organization,applicant_type,processing_fee,date,url,byte_size,number_of_pages,number_of_rows,duration
ocd-division/country:ca/province:bc,EGM-2011-00017,2795155,17,"In 1988 B.C was closed to placer mining with a 'blanket closure' with only a few places open to placer mining.  In 1988 a placer designation was placed on the Horsefly area #4-330210. I would like to see any files pertaining to that, and any scientific research that said it was okay to open up that area. Shortly afterwards there was a 'no placer staking' put on the area- No staking #329600. I would like to know why that occurred and the scientific research behind that, and any reasons and files pertaining to that. I would also like to know who requested the 'no placer staking' reserve. I have been told it was the ministry of environment that requested the 'no staking reserve. However on the Mineral titles web page it says that the Mineral titles requested the 'no placer staking # 329600.",Energy and Mines,public,0.00,2011-07-22,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2795155&title=FOI%20Request%20-%20EGM-2011-00017,16153516,88,0,0
ocd-division/country:ca/province:bc,MOE-2011-00102,2795063,102,"In 1988 B.C was closed to placer mining with a 'blanket closure' with only a few places open to placer mining.  In 1988 a placer designation was placed on the Horsefly area #4-330210. I would like to see any files pertaining to that, and any scientific research that said it was okay to open up that area. Shortly afterwards there was a 'no placer staking' put on the area- No staking #329600. I would like to know why that occurred and the scientific research behind that, and any reasons and files pertaining to that. I would also like to know who requested the 'no placer staking' reserve. I have been told it was the ministry of environment that requested the 'no staking reserve. However on the Mineral titles web page it says that the Mineral titles requested the 'no placer staking # 329600.",Environment,public,0.00,2011-07-22,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2795063&title=FOI%20Request%20-%20MOE-2011-00102,939821,3,0,0
ocd-division/country:ca/province:bc,AGT-2011-00073,2798906,73,"A)  The communications plan for the March 25, 2011 announcement of the HST referendum process, including briefing notes for Attorney General Barry Penner and Premier Christy Clark;B)  Cost-benefit analysis or business case for a mail-in ballot vs. general election-style balloting.",Attorney General,media,0.00,2011-07-25,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2798906&title=FOI%20Request%20-%20AGT-2011-00073,625717,5,0,0
ocd-division/country:ca/province:bc,ARR-2011-00017,2796100,17,All 1995 internal briefing notes to the Minister of Aboriginal Relations that dealt with the Gustafsen Lake standoff; correspondence between the Solicitor General and other government officials (at all levels); post-event summary reports of the crisis and its long term impacts.,Aboriginal Relations and Reconciliation,media,0.00,2011-07-25,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2796100&title=FOI%20Request%20-%20ARR-2011-00017,3549751,59,0,0
ocd-division/country:ca/province:bc,OCC-2011-00011,2799569,11,"A copy of the 2009 version of the 25 Appendices in Chapter 12 of the BC Coroner's Service Investigation Policy Manual as well as any current (2011) version, if different from 2009.",Public Safety and Solicitor General,public,0.00,2011-07-25,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2799569&title=FOI%20Request%20-%20OCC-2011-00011,2587146,72,0,0
ocd-division/country:ca/province:bc,OOP-2011-00069,2795336,69,All materials included in the Briefing Binders prepared for and delivered to the incoming Premier,Office of the Premier,organization,0.00,2011-07-25,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2795336&title=FOI%20Request%20-%20OOP-2011-00069,7290361,137,0,0
ocd-division/country:ca/province:bc,FIN-2011-00079,2799789,79,"Summary of all contracts awarded by the HST Information Office or to support the work of the HST Information Office, including the method of award, the value of the services provided under those contracts and the value of expenses incurred and the  specific pages of the contracts that speaks to the services provided and the value of the contract.",Finance,media,0.00,2011-07-27,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2799789&title=FOI%20Request%20-%20FIN-2011-00079,3481814,64,0,0
ocd-division/country:ca/province:bc,TRA-2011-00121,2799819,121,"Records detailing the sequence of events in place as far as light changes drivers view in both directions of the Lions Gate as the lanes are changed from 2 lanes of traffic to 1 lane of traffic in either direction [on October 25, 2009].",Transportation and Infrastructure,business,0.00,2011-07-27,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2799819&title=FOI%20Request%20-%20TRA-2011-00121,1641638,7,0,0
ocd-division/country:ca/province:bc,MOE-2010-00100,2797907,100,The Galiano Island Landfill Closure Plan of 1991 provided that commencing Spring 1992 'Leacheate monitoring will be carried out by MOE once per year using existing surface water courses  and water supply wells'.  Requesting all records of monitoring results on the Galiano Landfill site from inception to the most recent recordings.,Environment,public,0.00,2011-07-28,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2797907&title=FOI%20Request%20-%20MOE-2010-00100,35854722,140,0,0
ocd-division/country:ca/province:bc,FNR-2011-00094,2801955,94,"Records for the Wolf Trapping Stats for the years 2008, 2009 & 2010 and the Draft BC Wolf Management Plan, author Steve Wilson, dated March 31, 2011.","Forests, Lands and Natural Resource Operations",public,0.00,2011-07-29,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2801955&title=FOI%20Request%20-%20FNR-2011-00094,26048,4,0,0
ocd-division/country:ca/province:bc,HSE-2011-00011,2805236,11,"All written communications; drafts, reports, e-mails, letters, between, or addressed to, the executives of the Ministry of Health Services directors, deputy ministers between May 1, 2008 and June 31, 2008, related to the pharmaceutical task force report published in May 2008.",Health,media,0.00,2011-07-29,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805236&title=FOI%20Request%20-%20HSE-2011-00011,8848892,148,0,0
ocd-division/country:ca/province:bc,OOP-2011-00193,2803868,193,"A copy of the Lieutenant-Governors appointment of Ms. Christy Clark (as she then was) to the Executive council earlier this year, presumably after her election as leader of the Liberal Party, as well as any documentation sent by any party, including but not limited to the Executive Council or the Premiers office requesting such an appointment.",Office of the Premier,business,0.00,2011-07-29,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2803868&title=FOI%20Request%20-%20OOP-2011-00193,217008,2,0,0
ocd-division/country:ca/province:bc,EAO-2011-00010,2805389,10,"Any files pertaining to a 1988 placer designation placed on the Horsefly area #4-330210 and any scientific research that said it was okay to open up that area.  Shortly afterwards there was a no placer staking put on the area - No staking #329600.  Any scientific research, reasons and files behind, or pertaining to, that and including who requested the no placer staking reserve.",Environment,public,0.00,2011-08-02,http://www.openinfo.gov.bc.ca/ibc/search/detail.page?config=ibc&P110=recorduid:2805389&title=FOI%20Request%20-%20EAO-2011-00010,2987623,10,0,0
