id,division_id,identifier,alternate_identifier,position,abstract,organization,application_fee,processing_fee,date,decision,byte_size,number_of_pages,number_of_rows
,ocd-division/country:ca/province:nl,FIN/3/2013,,3,"A breakdown of Line 3.1.04.10 (Community Enhancement, Grants and Subsidies) on page 170 of the Report on the Program Expenditures and Revenues of the Consolidated Revenue Fund (2011-12). Request includes breakdown of payee, amount and reason for payment, and date.",Finance,5.00,0.00,2013-01,all disclosed,,28,
314,ocd-division/country:ca/province:nl,AES/1/2013,,1,"Please provide a breakdown by trade and by block 
The percentage of students from each block exam held between September 2011 and December 2012 (including December 2012) who passed 
The percentage of those writing each exam between September 2011 and December 2012 (including December 2012) who were writing the exam for the second time 
The percentage of those writing each exam between September 2011 and December 2012 (including December 2012) who were writing the exam for the third time",Advanced Education and Skills,5.00,0.00,2013-04-23,all disclosed,673279,2,
159,ocd-division/country:ca/province:nl,AES/2/2013,,2,"Copies of the report filed by John Noseworthy, contractor with the Department of Advanced Education and Skills, in December 2012, including any drafts, preliminary or final.",Advanced Education and Skills,0.00,0.00,2013-04-23,nothing disclosed,402756,1,
171,ocd-division/country:ca/province:nl,AES/3/2013,,3,Copy of the Income and Employment Support Policy and Procedure Manual.,Advanced Education and Skills,5.00,0.00,2013-04-23,all disclosed,8974031,532,
403,ocd-division/country:ca/province:nl,AES/31/2012,,31,"A copy of each plan submitted by AES and HRLE for 2010/11, 2011/12, 2012/13 to the federal government as outlined in Article 3.2 of the Labour Market Development Agreement: 
3.2 For each Fiscal year during which Newfoundland and Labrador provides its NL Benefits and Measures, Newfoundland and Labrador will provide Canada with a plan which sets out: 
the labour market issues which Newfoundland and Labrador intends to address during the coming Fiscal Year; 
the array of NL Benefits and Measures to be offered during the coming Fiscal Year; and 
the projected expenditures under each of the NL Benefits and Measures for the coming Fiscal Year. ",Advanced Education and Skills,5.00,0.00,2013-04-23,all disclosed,159858,25,
67,ocd-division/country:ca/province:nl,AES/32/2012,,32,"The new Poverty Reduction Strategy/Action Plan as well as the Progress Report on Poverty Reduction. In providing these documents, kindly provide the source demonstrating Newfoundland and Labrador’s rank as the jurisdiction with the third lowest rate of poverty in Canada.",Advanced Education and Skills,5.00,0.00,2013-04-23,nothing disclosed,87600,2,
9,ocd-division/country:ca/province:nl,AES/4/2013,,4,"The cost of taxi services for income support clients for the most recent fiscal year available. A copy of the guidelines governing this program, including voucher limit amounts, taxi registration with Advanced Education and Skills process, eligible taxi travel covered by program, etc.",Advanced Education and Skills,5.00,0.00,2013-04-23,all disclosed,487768,10,
470,ocd-division/country:ca/province:nl,AES/5/2013,,5,A copy of the guidelines governing the Self-Employment Assistance (SEA) program under the Labour Market Development Agreement (LMDA) and administered by Advanced Education and Skills.,Advanced Education and Skills,5.00,0.00,2013-04-23,all disclosed,292317,17,
17,ocd-division/country:ca/province:nl,AES/6/2013,,6,The final product of the “Business Development Project” undertaken by John Noseworthy. Request includes a final report and/or PowerPoint presentation prepared for and/or provided to Minister John Shea.,Advanced Education and Skills,0.00,0.00,2013-04-23,nothing disclosed,459107,1,
436,ocd-division/country:ca/province:nl,EC/2/2013,,2,All costs associated with the Queen Elizabeth II Diamond Jubilee congratulatory message book incurred by the Government of Newfoundland and Labrador during 2012.,Executive Council,5.00,0.00,2013-04-23,all disclosed,69231,1,
23,ocd-division/country:ca/province:nl,EC/3/2013,,3,The list of people from across Newfoundland and Labrador who signed the Queen Elizabeth II Diamond Jubilee congratulatory message book during 2012.,Executive Council,5.00,0.00,2013-04-23,all disclosed,91146,1,
334,ocd-division/country:ca/province:nl,EC/4/2013,,4,"Copies of all emails, letters, memos written to or from the Department of Advanced Education and Skills, Executive Council or the Premier’s Office between December 2012 and January 18, 2013 regarding the appointment of Ross Reid to Deputy Minister, Responsible for the Population Growth Strategy.",Executive Council,5.00,0.00,2013-04-23,disclosed in part,351306,9,
2,ocd-division/country:ca/province:nl,EDU/1/2013,,1,Total remuneration of alcoholic purchase expenses made by the Department of Education for each year from 2008 to 2012.,Education,5.00,0.00,2013-04-23,all disclosed,74559,1,
383,ocd-division/country:ca/province:nl,EDU/2/2013,,2,A breakdown of the $567M (detailing projects and costs) allocated for school infrastructure throughout the province.,Education,5.00,0.00,2013-04-23,disclosed in part,11634035,71,
608,ocd-division/country:ca/province:nl,ENV/2/2013,,2,"All briefing books and other documents given to the new minister to brief them on departmental issues – including briefing material on the Multi-Materials Stewardship Board, the Office of Climate Change, Energy Efficiency and Emissions Trading.",Environment and Conservation,5.00,0.00,2013-04-23,nothing disclosed,665671,2,
431,ocd-division/country:ca/province:nl,ENV/8/2013,,8,All correspondence from the Minister of Environment and Conservation during 2012 regarding climate change.,Environment and Conservation,5.00,0.00,2013-04-23,disclosed in part,4248976,54,
605,ocd-division/country:ca/province:nl,FA/1/2013,,1,All briefing books and other documents given to the new minister to brief him on departmental issues.,Fisheries and Aquaculture,5.00,0.00,2013-04-23,nothing disclosed,897591,3,
481,ocd-division/country:ca/province:nl,FA/3/2013,,3,"A copy of the results of the stock assessment for 3PS cod and other species that was reported by the provincial government as undertaken during the period October 9 to 12, 2012.",Fisheries and Aquaculture,5.00,0.00,2013-04-23,nothing disclosed,595690,2,
382,ocd-division/country:ca/province:nl,FIN/1/2013,,1,"A breakdown of Line 5.1.01.10 (Energy Policy, Grants and Subsidies) on page 125 of the Report on the Program Expenditures and Revenues of the Consolidated Revenue Fund (2011-12). Request includes breakdown of payee, amount and reason for payment, and date.",Finance,5.00,0.00,2013-04-23,all disclosed,169704,28,
620,ocd-division/country:ca/province:nl,FIN/10/2012,,10,I am requesting under the Access to Information Act any financial analysis completed on Lower Churchill since September 2010.,Finance,5.00,0.00,2013-04-23,nothing disclosed,718607,3,
619,ocd-division/country:ca/province:nl,FIN/13/2012,,13,"Any briefing notes, information notes, fact sheets, etc. completed after March 2011 with respect to government debt.",Finance,5.00,0.00,2013-04-23,disclosed in part,9803972,106,
618,ocd-division/country:ca/province:nl,FIN/15/2012,,15,"Any briefing notes, information notes, fact sheets, etc. on the government’s long term financial outlook for the province.",Finance,5.00,0.00,2013-04-23,nothing disclosed,901733,2,
615,ocd-division/country:ca/province:nl,FIN/18/2012,,18,The most recent review/analysis for the province’s tax system including a review of the tax systems in other jurisdictions.,Finance,5.00,0.00,2013-04-23,disclosed in part,17321005,72,
379,ocd-division/country:ca/province:nl,FIN/2/2013,,2,"A breakdown of Line 2.2.01.05 (Executive Council, Professional Services) on page 20 of the Report on the Program Expenditures and Revenues of the Consolidated Revenue Fund (2011-12). Request includes breakdown of payee, amount and reason for payment, and date.",Finance,5.00,0.00,2013-04-23,all disclosed,169698,28,
380,ocd-division/country:ca/province:nl,FIN/4/2013,,4,"A Breakdown of Line 2.3.05.06 (Purchased Services) on page 23 of the report on the Program Expenditures and Revenues of the Consolidated Revenue Fund (2011-12). Request includes breakdown of payee, amount and reason for payment.",Finance,5.00,0.00,2013-04-23,all disclosed,233959,2,
647,ocd-division/country:ca/province:nl,FIN/5/2013,,5,"A list of qualifying resort developers, locations of qualifying resort complexes, and the benefits accrued by qualifying investors for whom tax credits have been issued. Request includes the information to be listed by date.",Finance,5.00,0.00,2013-04-23,all disclosed,137296,1,
5,ocd-division/country:ca/province:nl,FIN/9/2013,,9,"When the 2011-12 budget was released, government estimated they would have 6,926 permanent employees for the year. At this time, I am requesting the actual number of permanent employees for the 2011-12 budget year, and the total cost of salaries for each department.",Finance,5.00,0.00,2013-04-23,all disclosed,658432,2,
604,ocd-division/country:ca/province:nl,HCS/1/2013,,1,"Obtain a copy of the Master Plan for the construction of a new regional hospital to be built in Corner Brook including all reports, memoranda, diagrams, manuals, emails, spreadsheets, and other records in the possession of the Department of Health and Community Services, its predecessor departments, or any other government agencies, including financial and accounting information, budgets, cost estimates, engineering particulars, design specifications, facility requirements which were created between January 1, 2004 to present.",Health and Community Services,5.00,0.00,2013-04-23,nothing disclosed,271016,3,
617,ocd-division/country:ca/province:nl,HCS/3/2013,,3,A copy of the letter that the City of Corner Brook sent to the government regarding the Corner Brook hospital in the fall of 2012 as well as a copy of the government’s response(s) to it.,Health and Community Services,5.00,0.00,2013-04-23,all disclosed,475648,3,
319,ocd-division/country:ca/province:nl,HCS/5/2013,,5,"Rate and number of cases dealing with types of in-hospital mortality, readmissions, trauma, etc. (2009-2012). Emergency Department (ED) wait times according to length of stay in ED (2009 – present). Rate and number of hospital-acquired MRSA, C-Defficile and VRE infection (2009 – present). ",Health and Community Services,5.00,0.00,2013-04-23,all disclosed,15318153,35,
349,ocd-division/country:ca/province:nl,HRS/1/2013,,1,"In March 2012 the Premier was in the media stating that government had grown by nearly 2,100 positions since they came into government in 2003. Request for a breakdown of the 2,100 positions and employees in the following categories: permanent positions, part-time positions, contractual positions, seasonal employees and call-in employees.",Human Resource Secretariat,5.00,0.00,2013-04-23,all disclosed,598180,1,
613,ocd-division/country:ca/province:nl,IAAS/1/2013,,1,All briefing books and other documents given to the new minister to brief him on departmental issues.,Intergovernmental and Aboriginal Affairs Secretariat,5.00,0.00,2013-04-23,nothing disclosed,75170,2,
610,ocd-division/country:ca/province:nl,IBRD/1/2013,,1,"All briefing books and other documents given to the new minister to brief him on departmental issues, briefing information for the Research and Development Corporation and briefing information on the creation of the Office of Public Engagement.","Innovation, Business and Rural Development",5.00,0.00,2013-04-23,nothing disclosed,181251,2,
24,ocd-division/country:ca/province:nl,IBRD/2/2013,,2,"The loan agreement between the province and Terra Nova Shoes regarding a contribution under the Business Attraction Fund, plus any revisions or amendments made to the agreement since.","Innovation, Business and Rural Development",5.00,0.00,2013-04-23,disclosed in part,1026285,23,
295,ocd-division/country:ca/province:nl,JUS/1/2013,,1,Legal costs incurred by the Province of Newfoundland and Labrador in its Supreme Court of Canada action to have Abitibi Bowater declared responsible for the environmental clean-up at the mill in Grand Falls-Windsor and other sites in central Newfoundland.,Justice,5.00,0.00,2013-04-23,all disclosed,147823,4,
622,ocd-division/country:ca/province:nl,JUS/29/2012,,29,"Number of inmates being housed in provincial jails, expansions of jails in NL and records relating to federal Bill C-10, etc.",Justice,5.00,0.00,2013-04-23,disclosed in part,3405036,55,
614,ocd-division/country:ca/province:nl,JUS/3/2013,,3,All briefing books and other documents given to the new minister to brief him on departmental issues - including briefing material on the Labour Relations Agency.,Justice,5.00,0.00,2013-04-23,nothing disclosed,81468,2,
236,ocd-division/country:ca/province:nl,JUS/4/2013,,4,"Any and all materials concerning the use of reference questions by the Province of Newfoundland and Labrador as provided by the Judicature Act, RSNL 1990, c J-4, s. 13. This could include (but is not limited to) any department manuals or directives that outline the Department of Justice process for engaging in this legal action, how the reference or constitutional questions are drafted and who is involved in the process, any directives that mention which departments or actors must be consulted when preparing a reference questions or case. Records requested would be departmental directives, manuals, or memos, concerning the usage of reference/constitutional questions via the above named statute. This would not include information specific to a certain case or material that may be subject to privilege. ",Justice,5.00,0.00,2013-04-23,nothing disclosed,87209,2,
474,ocd-division/country:ca/province:nl,MPA/18/2012,,18,A copy of the report assembly by the Department of Municipal Affairs into whether Pouch Cove Mayor Sarah Patten is in conflict of interest (July 2012-present).,Municipal Affairs,5.00,0.00,2013-04-23,nothing disclosed,221511,2,
253,ocd-division/country:ca/province:nl,NR/1/2013,,1,"Any reports/assessments and/or reviews of the former Gullbridge mine site. Date range of request is January 1, 2011 to the present.",Natural Resources,0.00,0.00,2013-04-23,nothing disclosed,75213,1,
623,ocd-division/country:ca/province:nl,NR/14/2012,,14,"The 2012-13 budget allows for an investment of $664,000,000 in Nalcor Energy, and/or its subsidiaries, in order to facilitate its participation in oil and gas activities and other energy projects. I am requesting information as to how that particular amount of money was arrived at by Nalcor. I would like documentation surrounding discussions with Nalcor that led to government’s budgeting $664 million for Nalcor this year.",Natural Resources,5.00,0.00,2013-04-23,nothing disclosed,254241,2,
