division_id,identifier,position,abstract,date,decision,number_of_pages
ocd-division/country:ca/csd:1209034,AR-14-003,3,"Metro Transit passenger counts for 2010, 2011, 2012 and 2013.",2014-01,all disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-004,4,"The amount of road salt used for the years 2010, 2011, 2012, 2013 and the amount budgeted for.",2014-01,all disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-012,12,Copy of HRM's Social Media policy.,2014-01,all disclosed,18
ocd-division/country:ca/csd:1209034,AR-14-275,275,All general ledger/account details from 2009-2014 pertaining to project/capital account #CQ300743 - Bayers Lake Infill and Ragged Lake Developments.,2014-01,disclosed in part,65
ocd-division/country:ca/csd:1209034,AR-14-281,281,RFP #09-137 - Animal Services - Shelter Services. A copy of the winning proposal.,2014-01,disclosed in part,36
ocd-division/country:ca/csd:1209034,AR-14-288,288,"Detailed line item breakdown of savings as referenced on Page 23 of the Fire Services Operational Review - 2014 Update as presented to HRM Executive Council on December 15, 2014.",2014-01,all disclosed,4
ocd-division/country:ca/csd:1209034,AR-14-290,290,"Copies of Memorandum of Understanding and/or Mutual Aid Agreement between HRM and Enfield, Hubbards, Mount Uniacke or any other fire departments or municipalities relating to fire protection.",2014-01,disclosed in part,17
ocd-division/country:ca/csd:1209034,AR-14-294,294,"A copy of the data in HRM's database of animals licenced under the A-300 bylaw including fields for the name of the pet, breed information, date licenced, type of licence and expiry date.",2014-01,disclosed in part,153
ocd-division/country:ca/csd:1209034,AR-14-296,296,A copy of the data in the database of parking tickets issued in HRM from 2009 to 2014 inclusive.,2014-01,disclosed in part,1
ocd-division/country:ca/csd:1209034,AR-14-005,5,"The number of workplace harassment complaints per business unit for 2010, 2011, 2012.",2014-02,all disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-291,291,Copy of climate survey responses as related to the operational review survey conducted by HRM Fire Services.,2014-02,disclosed in part,427
ocd-division/country:ca/csd:1209034,AR-14-002,2,Agreement relating to IBM support services.,2014-04,disclosed in part,33
ocd-division/country:ca/csd:1209034,AR-14-036,36,Information in relation to vandalism of HRM property.,2014-04,disclosed in part,70
ocd-division/country:ca/csd:1209034,AR-14-040,40,Information in relation to HRP vehicle repairs.,2014-04,all disclosed,82
ocd-division/country:ca/csd:1209034,AR-14-059,59,Information in relation to graffiti costs.,2014-04,nothing disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-060,60,Location information in relation to graffiti repairs/clean-up.,2014-04,nothing disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-061,61,Information in relation to graffiti removal kits.,2014-04,all disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-075,75,"Number of cases of arson from Jan 01/06 to present. Also from Jan 01/13 to present, the type of building.",2014-04,all disclosed,11
ocd-division/country:ca/csd:1209034,AR-14-076,76,Number and type of prohibited animals still in the HRM and permitted under grandfathered regulations.,2014-04,nothing disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-077,77,Number of violations to the curbside solid waste regulations from January 2011 to March 2014.,2014-04,disclosed in part,1
ocd-division/country:ca/csd:1209034,AR-14-037,37,Records in relation to purchase/sale of Shannon Park.,2014-05,disclosed in part,46
ocd-division/country:ca/csd:1209034,AR-14-073,73,Numbers and types of animals taken by Animal Services between Jan 01/10 and Mar 31/14. Also reason for confiscation.,2014-05,all disclosed,88
ocd-division/country:ca/csd:1209034,AR-14-074,74,"Information regarding complaints made to the City that caused Animal Services to launch an investigation between the dates of Jan 01/13 and April 11/14. Also the total number of complaints for 2010, 2011, 2012 and 2013.",2014-05,all disclosed,2
ocd-division/country:ca/csd:1209034,AR-14-079,79,"Density lot calculation for ""The Craigmore"" located at 1 Craigmore Dr., Halifax, NS.",2014-05,all disclosed,4
ocd-division/country:ca/csd:1209034,AR-14-090,90,Amount of overtime worked by Halifax Regional Fire & Emergency Services operational officers and the reason why the overtime was needed.,2014-05,disclosed in part,39
ocd-division/country:ca/csd:1209034,AR-14-054,54,"Records in relation to the ""Bank of Canada"" building on Hollis St., Halifax, NS.",2014-06,disclosed in part,107
ocd-division/country:ca/csd:1209034,AR-14-085,85,A list of all 311 complaints over the last year by address or neighbourhood.,2014-06,all disclosed,1
ocd-division/country:ca/csd:1209034,AR-14-113,113,"Information in relation to Capital Reserve Fund Q107 - fund balance, contributions, capital/operating/other budget withdrawals for fiscal 2013/2014.",2014-06,all disclosed,8
ocd-division/country:ca/csd:1209034,AR-14-086,86,"Records in relation to the Roy Building, 1657 Barrington St, Halifax, NS.",2014-08,disclosed in part,136
ocd-division/country:ca/csd:1209034,AR-14-155,155,A listing of all unclaimed cheques (except those issued to individuals) issued by HRM from January 01/13 to December 31/14 and everything unclaimed in 2014 as of July 01/14.,2014-08,all disclosed,2
ocd-division/country:ca/csd:1209034,AR-14-157,157,"Information in relation to Capital Reserve Fund Q107 - balances, contributions, interest earned, capital/operating/other budget withdrawals from 2006 through to fiscal 2013/2014.",2014-08,all disclosed,20
ocd-division/country:ca/csd:1209034,AR-14-176,176,"Records in relation to streets markings and parking control signs for Hollis St., Lower and Upper Water Street, Halifax.",2014-08,disclosed in part,203
ocd-division/country:ca/csd:1209034,AR-14-177,177,Information in relation to Deed Transfer Tax revenue and Building Permit revenue.,2014-08,all disclosed,1
