division_id,position,organization,classification,applicant_type,date,decision
ocd-division/country:ca/csd:3524002,1,Building,general,public,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,2,Building,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,3,Building,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,4,Halton Region,general,public,2012,
ocd-division/country:ca/csd:3524002,5,Animal Control,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,6,Various,general,business,2012,all disclosed
ocd-division/country:ca/csd:3524002,7,"Building, Fire",general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,8,Roads and Parks Maintenance,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,9,Engineering,general,business,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,10,Building and By-law ,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,12,Building,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,12,Building,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,13,Building,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,14,Fire,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,15,Fire,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,16,Fire,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,17,Building,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,18,Fire,general,public,2012,all disclosed
ocd-division/country:ca/csd:3524002,19,Fire,personal,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,20,Building,general,business,2012,all disclosed
ocd-division/country:ca/csd:3524002,21,Fire,general,public,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,22,"Finance, Clerks",general,public,2012,nothing disclosed
ocd-division/country:ca/csd:3524002,23,Animal Control,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,24,Animal Control,general,public,2012,disclosed in part
ocd-division/country:ca/csd:3524002,25,Building,general,business,2012,abandoned
ocd-division/country:ca/csd:3524002,26,Various,general,public,2012,disclosed in part
