division_id,identifier,position,abstract,organization,classification,applicant_type,date_accepted,application_fee,processing_fee,waived_fees,unpaid_fees,date,decision
ocd-division/country:ca/csd:3553005,FOI2015-6,6,"All documents related to watermain repairs for 2010-2014. Documents could include, contracts -audits - reports (repairs, costs, etc) - operating costs (personnel materials, labour, etc.) ",Water/Wastewater,general,media,2015-01-08,5.00,,,188.80,2014-04-07,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-51,51,Property line and easement records of a specified property.,"Engineering, Planning",general,public,2015-03-20,5.00,,,,2014-04-08,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-228,228,"City records regarding the maintenance/construction/work orders/flush records/City water report related to and around a specified property including, but not limited to the particulars of the loss of about February 23, 2015 (Period requested March 2015 ? March 2015)","Construction Services, Engineering Services, Water/Wastewater",general,public,2015-12-15,5.00,,,30.20,2015-01-05,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-2,2,"Copies of any records on file for a specified property, that are of environmental concern (i.e. complaints, spills, etc.) ",Transferred to Development Approvals,general,business,2015-01-06,5.00,,,,2015-01-07,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-3,3,"Copies of any records on file for a specified property that are of environmental concern (i.e. complaints, spills, etc.) ",Transferred to Development Approvals,general,business,2015-01-06,5.00,,,,2015-01-07,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-1,1,"All records related to the fire that occurred at a specified property, including witness statements, electronic records and photographic records.",Fire Services,general,public,2015-01-05,5.00,35.60,,,2015-01-20,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-4,4,Copy of the administrative directive which allows the city By-law enforcement staff to exempt enforcement of By-law 2011-219 under certain circumstances. ,By-law,general,public,2015-01-07,5.00,,,,2015-01-21,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-8,8,All copies of paper work detailing landlord & tenant problems at a specified property. ,By-law,general,public,2015-01-09,5.00,33.40,,,2015-01-22,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-10,10,Building permit for a specified  property from 2007 to 2013. ,Building Services,general,public,2015-01-13,5.00,14.90,,,2015-01-23,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-11,11,Ontario Works File,Ontario Works,personal,public,2015-01-16,5.00,5.60,,,2015-01-26,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-12,12,"Lasalle Blvd & Notre Dame Ave and Hwy 69N intersection, Sudbury - Confirmation that traffic lights have advanced green, date advanced green was installed.",Roads & Transportation,general,public,2015-01-19,5.00,,,,2015-01-27,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-7,7,Ontario Works File,Ontario Works,personal,public,2015-01-08,5.00,,,,2015-02-02,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-13,13,Order to comply issued to a specified property and any permits from 2011 to present.,"Building Services, By-law",general,public,2015-01-22,5.00,,,10.20,2015-02-17,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-14,14,All correspondence to two individuals and any and all information and documentation that the City of Greater Sudbury has with regard to the non-payment of taxes on a specified property between March 2009 and October 2014. ,Tax,general,public,2015-01-23,5.00,68.00,,,2015-02-17,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-15,15,Fire Marshals report for a specified building.,Fire Services,general,public,2015-01-26,5.00,,,21.30,2015-02-18,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-16,16,Information proving the City of Sudbury have the right to take part of a specified property - the part at the front when they widened the road and made the extra lane.,"Engineering, Real Estate",general,public,2015-01-28,5.00,21.30,,,2015-02-20,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-17,17,Any permits issued of any matter to a specified property. Any previous water/septic/frozen pipe/ heating/ electrical/structural inside/outside house property damage of any kind. ,"Building Services, Water/Wastewater",general,public,2015-01-30,5.00,82.20,,,2015-02-24,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-18,18,All by-law files and documentation on a specified property.,By-law,general,public,2015-02-05,5.00,,,52.80,2015-03-02,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-21,21,"Fire prevention inspection including phone call and anything related after the fact - calls letters, etc.","Fire Services, 311",general,public,2015-02-17,5.00,30.60,,,2015-03-05,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-23,23,"City repair orders, all orders from by-law office, health department, and city orders dating back from April 2014 for a specified property.","Building Services, By-law",general,public,2015-02-19,5.00,,,16.60,2015-03-09,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-24,24,Requesting fire report.,Fire Services,general,public,2015-02-20,5.00,19.70,,,2015-03-09,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-5,5,"All documents, including financial records, related to the I.J. Coady Memorial Arena in Levack from 2009. The documentation could include correspondence as well as revenue and expense reports for the arena, audits and auditors reports. Any forensic audits. All documents related to employee dismissals including reports indicating why they were dismissed and their compensation packages.","Leisure, Human Resources",general,media,2015-01-08,5.00,,,119.60,2015-03-09,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-22,22,Fire Departments call report in relation to the motor vehicle collision.,Fire Services,general,public,2015-02-18,5.00,11.40,,,2015-03-10,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-20,20,Employee File,Human Resources,personal,public,2015-02-13,5.00,,,,2015-03-12,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-26,26,Employee file,Human Resources,personal,public,2015-02-19,5.00,,,,2015-03-12,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-27,27,All 311 calls I have made to the City of Sudbury regarding personal property flooding and numerous watermain breaks,311,general,public,2015-02-23,5.00,,,48.60,2015-03-12,abandoned
ocd-division/country:ca/csd:3553005,FOI2015-28,28,All records for fire dept. records for a specified property for the period of 2012 to current date. Building inspection records for the period of 2012 to current date. ,Fire Services,general,public,2015-02-24,5.00,33.30,,,2015-03-13,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-25,25,Ontario Works File,Ontario Works,personal,public,2015-02-19,5.00,101.40,,,2015-03-19,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-34,34,Employee file & copy of the video captured by the City of Greater Sudbury Transit Vehicle on a date and specified time.,Transit,personal,public,2015-03-03,5.00,,,,2015-03-24,nothing disclosed
ocd-division/country:ca/csd:3553005,FOI2015-29,29,"All information, and especially of any notes of a By-law Enforcement Officer before, during and after their visit to a specified property on a specified date and their other visits. Include all information/ communication by or for the By-law Enforcement Officer with their superiors, colleagues, other departments, as well as all communication with the City lawyers, and with the complainants.","By-law, Legal, Mayors office",general,public,2015-02-24,5.00,39.80,,,2015-03-26,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-31,31,"All information, and notes by a By-law Enforcement Officer from the By-law Department before, during and after their visit to a specified property and their other visits. Include all information/communication by or for a By-law Enforcement Officer with their superiors, colleagues, other departments, communication with the City lawyers, and with the complainants.  And other times that a by-law officer has visited the specified property and who urged them to come.","By-law, Legal, Mayors office",general,public,2015-02-26,5.00,17.00,,,2015-03-26,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-35,35,"All information, and especially of any notes handwritten by a By-law Enforcement Officer before, during and after their visit to a specified property with who and their other visits. Include all information or communication by or for the By-law Enforcement Officer with their superiors, colleagues, other departments, City lawyers, with the complainants. Any other times that they visited the specified property and, especially, who urged them to come.","By-law, Legal, Mayors office",general,public,2015-03-03,5.00,35.70,,,2015-03-26,disclosed in part
ocd-division/country:ca/csd:3553005,FOI2015-44,44,Ontario Works File,Ontario Works,personal,public,2015-03-10,5.00,,3.40,,2015-03-26,all disclosed
ocd-division/country:ca/csd:3553005,FOI2015-33,33,"A copy of your complete file in relation to a motor vehicle accident, including but not limited to copies of reports from the Fire Department and any written notes.  ",Fire Services,general,public,2015-02-27,5.00,19.10,,,2015-03-27,disclosed in part
