division_id,identifier,position,abstract,date
ocd-division/country:ca/csd:3506008,A-2013-00262,262,Information regarding number of calls concerning graffiti and graffiti removal for each ward by year,2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00267,267,"All records on the ""Richmond Underground"" Western LRT extension prepared for or by Deputy City Manager Nancy Schepers between April 1- April 23.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00301,301,"Requesting all correspondence from City staff, Councillors, and the Mayor regarding the City's attempt to invest $1.5 million to build a film studio in Ottawa. Records should include any documents including meeting notes and emails.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00319,319,"All documents generated with regard to the Locate Ottawa site, authored between December 2012 and May 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00325,325,I am requesting Mayor Jim Watson's calendar schedule with all attached memos and other records for January through to the end of May for 2013.,2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00348,348,"All correspondence between any staff in the Mayor's office or Saad Bashir and the Ontario Lottery and Gaming Corp. since April 1, 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00360,360,"Memos, e-mails and reports to and from the Mayor Jim Watson, Serge Arpin, George Young (Mayor's office), Kent Kirkpatrick, Steve Box, Lisa Allaire, Rick O'Connor and the Chief Information Officer, etc.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00361,361,"Any and all records prepared for or by Steve Box concerning banning non-approved staff from e-mailing reporters directly from March 2013 to June 6, 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00363,363,"Any and all briefing notes prepared for Mayor Jim Watson and/or Serge Arpin from May 1, 2013 - June 6, 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00368,368,"Requesting all records of noise complaints received by the City of Ottawa since 2008 broken down by date, time, hundred block, ward and reason. All records should be in spreadsheet format, preferably an Excel document.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00373,373,All records related to the Ottawa Stadium on Coventry Road: The most recent renovation plan; cost estimate for activities in the renovation plan; building condition audit; life-cycle schedule and budget for future work,2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00375,375,"All records pertaining to the City's decision to block staff emails to news media and all records pertaining to the decision to end this policy. Records should include but not limited to emails, PINs, meeting minutes and reports.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00376,376,"All draft versions of the Environments strategy referred to in budget 2011 ""Development, approval and implementation of a new environmental strategy for the City",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00383,383,"The latest ""updated and progressed"" work schedule on the Confederation Line project provided by Rideau Transit Group to the City of Ottawa, and any other materials related to progress updates on Confederation Line work",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00387,387,"Full and complete report, including all notes and diagrams with respect to motor vehicle collision involving two OC Transpo buses on the OC Transitway at Tunney's Station on February 7, 2012.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00389,389,"Any and all records including emails, presentations, memos and reports between OC Transpo and the Rail Implementation Office concerning vehicles needed to manage detours during the construction of the Federation Line between May 1, - June 19, 2013",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00418,418,"OC Transpo's ""Customer Service Experience Program"" database - information on Mystery Shopper Program",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00439,439,"Copies of all records/documents/correspondence of the linguistic profile data between HR, French Language Services Branch and Ottawa Public Health",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00448,448,All communications to and from the Protocol office regarding Paul McCartney.,2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00449,449,"All communications to and from the Mayor's office regarding Paul McCartney since January 1, 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00482,482,"All public feedback received by OC Transpo through a form on its website, and by e-mail between May1, 2003 and July 24, 2013 regarding the naming of the Confederation Line LRT stations",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00503,503,"I would like to know which contractor won the tender, the contractor's final price and what their offered discount was for RFT #02113-94155-T02, scheduled for closing on July 16th, 2013",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00507,507,"The number of accidents in the last 3 years in which OC Transpo drivers were at fault, and the number of those who were prosecuted",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00522,522,"An electronic extract of your MAP system that contains property standards information, dates January 1, 2001 to August 25, 2013.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00524,524,All records pertaining to OC Transpo's plan to update the transit commission at its August 21st meeting regarding safety and security issues within the transit system.,2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00525,525,"Correspondence, records of meeting dates, applications for zoning for windpower project ""Marlborough"" by Prowind Canada/Prowind GMBH.",2013-07-01/2013-09-30
ocd-division/country:ca/csd:3506008,A-2013-00338,338,Internal or external emails and any other documentation showing communication related to Presto - dated January 1st. 2012 and May 28th. 2013,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00436,436,"All documents and correspondence related to the naming of the City's light-rail station ""UOttawa"" from January 1, 2013 to July 2, 2013",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00437,437,"All documents and correspondence related to the renaming/rebranding of the City's light-rail line and stations, from July 1, 2012 to July 2, 2013.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00527,527,"Information regarding the Navan Landfill, Carp Road Facility and the Trail Road Landfill for the past 5 years.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00538,538,"All records related to construction maintenance or repair of the retaining wall located at North Side of Sparks St. West of Bay St. at Memorial Park. Including any notes, correspondence, or reports related to the inspection of the wall",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00546,546,"All correspondence including PINS, between Brian Guest and any or all of Nancy Schepers. Chris Swail, Jake Rupert, Ethel Craft, Jocelyne Turner, since January 1, 2013.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00547,547,"All reports, memoranda, briefing notes, presentation materials, and other non-correspondence documents prepared by Brian Guest or the Boxfish Group regarding the WLRT extension or the 2013 review of the Transportation Master Plan.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00549,549,"All information regarding the number of requests for the re-designation of parks to on-leash parks, plus the materials that were submitted in support of same, plus info re: why the decisions were made and what those decisions were.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00550,550,All documents relating to how the City of Ottawa determines how it re-designates the classification of its parks.,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00552,552,"All reports, memoranda, briefing notes, presentation materials and other non-correspondence documents prepared by Brian Guest or the Boxfish Group for the Rail Implementation office in 2013.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00561,561,"A breakdown, by year and location, of complaints to the City regarding dogs in parks.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00565,565,"All records relating to the public swimming pools, indoor and outdoor, operated by the City of Ottawa relating to any rules, policies, by-laws, memos, instructions to lifeguards, safety manuals for lifeguards, or the like set out by the City of Ottawa as to the public concern or safety hazard identified by the City",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00581,581,"Correspondence to or from Robert Delage concerning bugs, glitches or other technical problems with M5 fleet maintenance software, since January 1, 2012.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00582,582,"All maintenance records, logs and/or records of complaints by drivers regarding double decker bus #8017, from date of purchase to present",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00588,588,Any documents containing details about the engine specifications on the double-decker buses purchased from Alexander Dennis,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00590,590,"All briefing material prepared for Mayor Watson and/or John Manconi related to the fatal bus accident on September 18, 2013",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00594,594,"An electronic spreadsheet, CSV or other machine readable listing of all MFIPPA requests received by the City of Ottawa from January 1, 2013 to August 31, 2013 (inclusive).",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00603,603,"Copies of any information (reports, correspondence, records, notes) regarding parking tickets wrongly being given to someone because of computer/electronic error between 2010 and present",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00609,609,"Records since January 1, 2012 containing public or internal complaints against OC Transpo drivers texting, talking on the phone or other distracted driving. Include if complaint was founded and the resulting discipline.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00612,612,"Seeking the list of 2011 formal MFIPPA requests. This has already been filed, File number A-2012-00484",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00619,619,All drafts of Mayor Jim Watson's speech introducing the draft Transportation Master Plan update for 2013,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00628,628,I would like to see the financial records - most recent report - for the Pineview Municipal Golf course,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00629,629,All payments made by the City of Ottawa for paramedic services provided by external services (including Prescott-Russell and County of Renfrew Paramedic Services) from January 2006 to December 2012.,2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00665,665,"Dataset of all municipal parking tickets issued in 2012 including location , ID of employee/officer issuing ticket, offence, standard fine, date and time.",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00681,681,"Receipts and expense claims for all claims for travel expenses made by Municipal Councillors or the Mayor for travel to the 2013 FCM annual conference in Vancouver, held approximately May 31 to June 3",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00710,710,"Requesting a report listing of usage for service contracts under the Service Excellence Services Standing Offer from January 1, 2012 until September 30, 2013",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00711,711,"Requesting report listing of usage for service contracts under the Strategic Advisory Services Standing Offer from January 1, 2012 until September 30, 2013",2013-10-01/2013-12-31
ocd-division/country:ca/csd:3506008,A-2013-00584,584,"All mechanical inspection reports, including the repair records and related documents for bus no. 8017 of the OC Transpo fleet.  Also the vehicle purchase invoice.  ",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00586,586,"Annual reports on catch basin larviciding and West Nile virus risk reduction programs from 2011, 2012 and 2013 if available. ",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00595,595,"Maintenance and inspection history of OC Transpo bus #8017, the Alexander Dennis double-decker model, prior to Sept. 18, 2013. If it is held within a fleet software program, would like the records created related to this specific bus since it became part of the fleet.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00596,596,The results and/or reports stemming from two testing programs on the Alexander Dennis Enviro 500 bus done by the National Research Council for the City of Ottawa. They likely took place in late 2006 or early 2007.,2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00598,598,"Any and all written communication between Mayor Jim Watson, Diane Deans, Kent Kirkpatrick, John Manconi, Ottawa Police service Chief Charles Bordeleau, Anthony Di Monte, and Lisa Allaire regarding the collision between OC Transpo and VIA on Sept 18/13.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00599,599,"Copies of all reports, notes, summaries or other documents regarding all collisions and/or accidents of any kind involving OC Transpo between October 1, 2010 and October 1, 2013. Any and all spreadsheets of OC Transpo collision information for the period between October 1, 2010 and October 1, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00601,601,"An electronic copy of the database outlining all parking tickets and infractions given out in Ottawa between October 1, 2012 and October 1, 2013. Fields should include at a minimum; location, fine, officer, alleged offence, charge and outcome.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00622,622,"All correspondence related to the discovery of bones under Queen Street (as part of watermain replacement) August 1, 2013 – October 21, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00626,626,"Work orders or similar documents detailing warranty repairs performed on double-decker buses purchased from Alexander Dennis, since January 1, 2012..",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00663,663,Agreements between Canadian National Railway and City of Ottawa.,2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00703,703,"All information pertaining to building permits for the installation of balconies from the period of November 1st, 2012 to November 21st, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00704,704,"Looking for copies of all receipts for Service Ottawa catered functions – either in house or out of house for dates between November 1, 2011 and November 19, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00705,705,Looking for a copy of City’s contract with Precise Parklink Inc. Including the cost of automated parking equipment purchased in 2011.,2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00706,706,"Looking for all correspondence, meeting minutes, emails etc. relating to charging for tables at the Walter Baker Centre. ",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00736,736,"A breakdown of reported incidents of harassment and assault on OC Transpo property, including buses for 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00737,737,"Requesting all violence against transit employee forms for 2013 (January 1 until December 12, 2013).",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00738,738,"All databases containing any data from January 2000 to December 4, 2013 pertaining to safety incidents involving O-Train light rail transport, including accidents, crashes, spills, explosions, derailing, leaks, etc. ",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00743,743,"Internal or external emails or any other documentation related to Presto, created between December 2012 and December 2013 in possession of the Mayor’s Office.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00752,752,Any and all documents outlining current protocol and procedures after an OC Transpo driver has been involved in a collision.,2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2013-00753,753,"Copies of all correspondence, reports, and documents related to driver, supervisor or other OC Transpo concerns about construction at Bayshore Shopping Centre between September and December 16, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2014-00001,1,"All communications and/or documents between the City’s Communications department and he Mayor’s Office on the “Ottawa on the Move” publication, from May 1, 2013 to December 27, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2014-00003,3,"Any documents including emails, detailing with the topic of studying Leda clay in the National Capital region. More specifically research oriented materials that relate to safety issues caused by Leda clay. From Jan 1/12 – Aug 13/13.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2014-00005,5,The list of taxi permits (accessible 4000 series). Need the date of each permit that the permit holder became eligible for it and the date of issuance of the permit.,2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2014-00006,6,"All violence against transit employee forms between December 13, 2013 and December 31, 2013.",2014-01-01/2014-03-31
ocd-division/country:ca/csd:3506008,A-2014-00014,14,"A copy of any and all documents showing the top 100 OC Transpo driver salaries for each of the following years: 2009, 2010, 2011, 2012 and 2013 up to December 20. I am not looking for the drivers’ names but rather the top 100 salaries of the highest paid drivers per year, including bonuses and overtime.",2014-01-01/2014-03-31
