division_id,identifier,position,abstract,classification,applicant_type,date_accepted,date,decision,number_of_pages
ocd-division/country:ca/csd:3520005,PHI-2011-00008,8,"A copy of all nurse, doctor, physio, OT, and respiratory notes regarding [an individual], including all information about his condition and treatment. He was staying at Wesburn Manor on 2 South, in room (number removed).",personal,public,2011-01-04,2011-01-07,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00030,30,A copy of the guidelines for personal or business use of social media sites by municipal employees (i.e. Twitter and Facebook).,general,media,2011-01-07,2011-01-14,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00059,59,A copy of any records regarding heating changes from 1979 to 1985 for [a specified address].,general,public,2011-01-12,2011-01-14,all disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-01100,1100,"Statement of Disagreement to be attached to Fire Services and EMS records relating to the incident that occurred on Jan. 1, 2010 at [a specified address]. (Ref# FOI # 2010-1955)",personal,public,2011-01-13,2011-01-14,correction,
ocd-division/country:ca/csd:3520005,AG-2011-00003,3,"A copy of the building file for [a specified address], Toronto. File number 320113.",general,public,2011-01-04,2011-01-18,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00012,12,"A copy of the fire report for [a specified address], Toronto, from Dec. 10, 2010.",general,business,2011-01-05,2011-01-18,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00023,23,"A copy the fire report for [a specified address] from Nov. 27, 2010.",general,public,2011-01-06,2011-01-18,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00042,42,"A copy of all permits and drawings for [a specified address], Toronto, including files: Bld: 08-163671 and DM: 08-163678.",general,public,2011-01-05,2011-01-19,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00044,44,"A copy of the order from Public Health and ML&S regarding [a specified address], inspection completed by Frank Mielewezyle.",general,public,2011-01-06,2011-01-19,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00045,45,"A copy of the complaint record made against [a specified address] on Aug. 10, 2009 and a copy of the Health inspection report completed on Aug. 10, 2009.",general,public,2011-01-06,2011-01-19,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00046,46,"A copy of the building files for [a specified address], files 11036(50) and 23289 (53).",general,public,2011-01-06,2011-01-19,disclosed in part,
ocd-division/country:ca/csd:3520005,AP-2011-00064,64,A copy of the Ontario Works file for [an individual],personal,public,2011-01-12,2011-01-19,discontinued,
ocd-division/country:ca/csd:3520005,AG-2011-00005,5,"A copy of the fire report for [a specified address], Scarborough, from Oct. 27, 2010.",general,business,2011-01-04,2011-01-20,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00020,20,"A copy of all information on [a specified address], including permits, zoning, work orders, parkdale pilot project, and inspection.",general,public,2011-01-05,2011-01-20,disclosed in part,
ocd-division/country:ca/csd:3520005,AP-2011-00062,62,"A copy of the employment records for 2 summers working with LTC, from 1976 to 1977. Requesters address at the time of employment was [a specified address].",personal,public,2011-01-12,2011-01-20,nothing disclosed,
ocd-division/country:ca/csd:3520005,AP-2011-00065,65,A copy of the Ontario Works file for [an individual] from 2004 to present.,personal,public,2011-01-12,2011-01-20,all disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00010,10,"A copy of the fire report for [a specified address], Toronto, Unit 1, from Nov. 18/19, 2010.",general,business,2011-01-05,2011-01-21,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00011,11,"A copy of the fire report for [a specified address], Toronto, from Dec. 10, 2010.",general,business,2011-01-05,2011-01-21,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00025,25,"A copy of the fire report for [a specified address], from Nov. 16, 2010.",general,business,2011-01-07,2011-01-21,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00027,27,"A copy of the fire report for [a specified address] boiler room, from Dec. 13, 2010.  The correct address should be 169 [a specified address].",general,business,2011-01-07,2011-01-21,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00111,111,A copy of the feasibility study undertaken in 2008 to study the future requirements of caring for elephants at the Toronto Zoo and for maintaining a heard of elephants into the future.,general,organization,2011-01-19,2011-01-21,nothing disclosed,
ocd-division/country:ca/csd:3520005,AG-2011-00024,24,"A copy of the fire report for [a specified address], Toronto, from Oct. 23, 2008. Fire incident no.: F08120136",general,public,2011-01-06,2011-01-24,disclosed in part,
ocd-division/country:ca/csd:3520005,AG-2011-00026,26,"A copy of the fire report for [a specified address], Toronto, from Dec. 12, 2010.",general,business,2011-01-07,2011-01-24,disclosed in part,
