division_id,identifier,position,classification,applicant_type,abstract,decision
ocd-division/country:ca/cd:3530,91001,1,personal,public,Request for {name removed} file held by Employment Resource Centre.,all disclosed
ocd-division/country:ca/cd:3530,91002,2,general,media,Records pertaining to expenditure on new Regional Administrative Headquarters.,abandoned
ocd-division/country:ca/cd:3530,91003,3,personal,public,Performance evaluations and related records for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,91004,4,general,public,Investigation of alleged abuse of male residents at Sunnyside Home; list of deceased residents and cause of death.,disclosed in part
ocd-division/country:ca/cd:3530,91005,5,general,public,Health Inspection report for investigation of insufficient heat in apartment.,nothing disclosed
ocd-division/country:ca/cd:3530,91006,6,general,public,General information in Competition File 90-298.,disclosed in part
ocd-division/country:ca/cd:3530,91007,7,general,public,General information in Competition File 90-298.,disclosed in part
ocd-division/country:ca/cd:3530,91008,8,general,media,Restaurant Inspection reports.,disclosed in part
ocd-division/country:ca/cd:3530,91009,9,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,91010,10,general,public,"Human Resources notes on ""grandfathering agreement.""",disclosed in part
ocd-division/country:ca/cd:3530,91011,11,general,public,General information in Competition File 91-231.,disclosed in part
ocd-division/country:ca/cd:3530,91012,12,general,public,"General information in Competition File for Operator, Waterloo Landfill.",disclosed in part
ocd-division/country:ca/cd:3530,91013,13,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,91014,14,general,public,Staff report on signalization of intersection in Cambridge.,all disclosed
ocd-division/country:ca/cd:3530,91015,15,general,public,Budget information and details regarding the Planning and Development Department. ,abandoned
ocd-division/country:ca/cd:3530,91016,16,general,public,Report CA 60/80.,all disclosed
ocd-division/country:ca/cd:3530,91019,19,personal,public,Interview notes for {name removed} in Competition Files 91-484 and 91-485.,all disclosed
ocd-division/country:ca/cd:3530,91020,20,general,public,General Records in Competition Files 91-484 and 91-485.,disclosed in part
ocd-division/country:ca/cd:3530,91021,21,general,public,1991 Sunnyside Home budget.,all disclosed
ocd-division/country:ca/cd:3530,91022,22,personal,public,FBA client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,91023,23,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,91024,24,general,public,Public Health Inspector report of dog bite regarding legal action.,abandoned
ocd-division/country:ca/cd:3530,91025,25,general,business,Nutrition training program client information regarding insurance settlement.,disclosed in part
ocd-division/country:ca/cd:3530,91026,26,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,92001,1,general,public,Health inspector's report on apartment heat and water complaints for {location removed}.,all disclosed
ocd-division/country:ca/cd:3530,92002,2,general,public,"Dog bite report and file regarding {name removed}, bitten on Oct. 21/90.",all disclosed
ocd-division/country:ca/cd:3530,92003,3,personal,public,Report and notes pertaining to {name removed} and food poisoning incident at {location removed}.,all disclosed
ocd-division/country:ca/cd:3530,92004,4,general,public,General records pertaining to investigation of E. coli poisoning at {location removed} between February and March 1989.,disclosed in part
ocd-division/country:ca/cd:3530,92005,5,general,public,General records relating to other individuals involved in food poisoning at {location removed} from February to March 1989.,disclosed in part
ocd-division/country:ca/cd:3530,92006,6,general,public,"Planning justification and hydrogeological report, OPA 5/91.",disclosed in part
ocd-division/country:ca/cd:3530,92007,7,general,public,Test results of a milk sample submitted in response to a complaint.,all disclosed
ocd-division/country:ca/cd:3530,92008,8,personal,public,Interview notes and other personal information for {name removed} from Competition File 92-009.,disclosed in part
ocd-division/country:ca/cd:3530,92009,9,general,public,General records from Competition File 92-009.,disclosed in part
ocd-division/country:ca/cd:3530,92010,10,personal,public,Records from Income Maintenance client file for {name removed} regarding eligibility for disabled benefits.,all disclosed
ocd-division/country:ca/cd:3530,92011,11,personal,public,FBA client file for {name removed}.,transferred
ocd-division/country:ca/cd:3530,92012,12,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,92013,13,general,business,"Sewer Use by-law, list of companies paying surcharge and amount, list of monitored companies, and list of companies cited for violations.",disclosed in part
ocd-division/country:ca/cd:3530,92014,14,general,public,List of recreational and commercial pools in the Region of Waterloo.,all disclosed
ocd-division/country:ca/cd:3530,92015,15,personal,public,Any and all records related to allegations of an investigation of FBA fraud.,disclosed in part
ocd-division/country:ca/cd:3530,92016,16,general,public,Mailing list of Home Child Care Providers.,nothing disclosed
ocd-division/country:ca/cd:3530,92017,17,general,public,Data items from GWA Applicant files.,all disclosed
ocd-division/country:ca/cd:3530,92017,17,general,public,"Physiographic and geotechnical reports, for Grandview Hills Subdivision.",all disclosed
ocd-division/country:ca/cd:3530,92018,18,general,public,Mailing list of Home Child Care Providers,nothing disclosed
ocd-division/country:ca/cd:3530,92018,18,general,public,Name of executor and probated will from file of {name removed}.,nothing disclosed
ocd-division/country:ca/cd:3530,92019,19,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,92020,20,personal,public,"Interview notes for {name removed} from Competition Files 92-175, 92-176, and 92-187.",all disclosed
ocd-division/country:ca/cd:3530,92021,21,general,public,"General records in Competition Files 92-175, 92-176, and 92-187.",disclosed in part
ocd-division/country:ca/cd:3530,92022,22,general,public,Vendor permit and sales tax remittances.,transferred
ocd-division/country:ca/cd:3530,92023,23,personal,public,Copies of {name removed}attendance records from September 1988 to the present.,all disclosed
ocd-division/country:ca/cd:3530,92024,24,personal,public,Interview notes and related personal information for {name removed} in four Social Services Team Supervisor positions competition files from 12 to 18 months ago.,disclosed in part
ocd-division/country:ca/cd:3530,92025,25,general,public,General information relating to four Social Services Team Supervisor positions competition files from 12 to 18 months ago.,disclosed in part
ocd-division/country:ca/cd:3530,92026,26,personal,public,Copies of job performance reviews for {name removed} since September 1986.,all disclosed
ocd-division/country:ca/cd:3530,92027,27,personal,public,GWA client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,92028,28,general,public,Health Inspection of apartment.,all disclosed
ocd-division/country:ca/cd:3530,92029,29,personal,public,Personnel records for {name removed} from brief employment at Sunnyside Home in 1986.,disclosed in part
ocd-division/country:ca/cd:3530,92030,30,personal,public,Personal information for {name removed} in Competition File 92-268.,all disclosed
ocd-division/country:ca/cd:3530,92031,31,general,public,General records in Competition File 92-268.,disclosed in part
ocd-division/country:ca/cd:3530,92032,32,personal,public,Personal information for {name removed} in Competition file 92-268.,disclosed in part
ocd-division/country:ca/cd:3530,92033,33,general,public,General records in Competition File 92-268.,disclosed in part
ocd-division/country:ca/cd:3530,92034,34,personal,public,Identity of complainants regarding alleged FBA fraud.,disclosed in part
ocd-division/country:ca/cd:3530,92035,35,general,public,General information in Competition File 92-346.,disclosed in part
ocd-division/country:ca/cd:3530,92036,36,personal,public,Income Maintenance client file for {name removed} and Director's submission to SARB.,abandoned
ocd-division/country:ca/cd:3530,92037,37,general,public,Public Health Inspector reports of dog bites concerning a specific dog over the last 3 years.,disclosed in part
ocd-division/country:ca/cd:3530,92038,38,personal,public,Personal Information for {name removed} in Competition File 92-329.,all disclosed
ocd-division/country:ca/cd:3530,92039,39,general,public,General Records in Competition File 92-329.,disclosed in part
ocd-division/country:ca/cd:3530,92040,40,personal,public,A complete copy of Income Maintenance client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,92041,41,personal,public,Income Maintenance client file for {name removed} during the period that {name removed} was caseworker.,disclosed in part
ocd-division/country:ca/cd:3530,92042,42,general,public,Identity of dog bite victim from incident on {name removed} property.,nothing disclosed
ocd-division/country:ca/cd:3530,92044,44,personal,public,Personal Information for {name removed} in Competition File 91-415.,all disclosed
ocd-division/country:ca/cd:3530,92045,45,general,public,General records in Competition File 91-415.,disclosed in part
ocd-division/country:ca/cd:3530,92046,46,personal,public,Personal Information for {name removed} in Competition File 89-42.,disclosed in part
ocd-division/country:ca/cd:3530,92047,47,general,public,General Information in Competition File 89-42.,disclosed in part
ocd-division/country:ca/cd:3530,92048,48,personal,public,Personal Information for {name removed} in Competition Files 84-23 and 88-20.,disclosed in part
ocd-division/country:ca/cd:3530,92049,49,general,public,General information in Competition Files 84-23 and 88-20.,disclosed in part
ocd-division/country:ca/cd:3530,92050,50,personal,public,"Human Resources Personal File for {name removed}, psychological test result, complaints, and explanation of prank calls.",disclosed in part
ocd-division/country:ca/cd:3530,92051,51,personal,public,Personal Information for {name removed} in Competition File 90-613.,all disclosed
ocd-division/country:ca/cd:3530,92052,52,general,public,General Information in Competition File 90-613.,disclosed in part
ocd-division/country:ca/cd:3530,92053,53,personal,public,Human Resources Personal File for {name removed.,abandoned
ocd-division/country:ca/cd:3530,92054,54,personal,public,Human Resources Personal File for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,93001,1,general,public,"Notes written by members of the Maintenance Review Committee for Clerk III, Healthy Environments.",all disclosed
ocd-division/country:ca/cd:3530,93002,2,personal,public,Director's submission regarding SARB appeal and GWA client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93003,3,personal,public,"Performance evaluations, probationary report, supervisor's notes, and working copies of supervisor's performance notes for {name removed}.",disclosed in part
ocd-division/country:ca/cd:3530,93004,4,personal,public,Details of support assignment on assistance payments for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93005,5,general,public,Weigh slips for landfill truck and ticket issued to {company name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93006,6,personal,public,Complaint sent to Income Maintenance by Police regarding {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93007,7,general,business,List of companies being monitored for sewer discharge and list of companies paying a sewer surcharge.,all disclosed
ocd-division/country:ca/cd:3530,93008,8,general,public,Pricing for supplies and rentals regarding the Home Care Program.,all disclosed
ocd-division/country:ca/cd:3530,93009,9,personal,public,Personal information for {name removed} from five job competitions.,all disclosed
ocd-division/country:ca/cd:3530,93010,10,general,public,General information on job competitions (5) Social Services and Community Health,disclosed in part
ocd-division/country:ca/cd:3530,93011,11,personal,public,"Contents of GWA client file for {name removed}, including accusations of threats.",disclosed in part
ocd-division/country:ca/cd:3530,93012,12,personal,public,Personal Information for {name removed} in Competition File 93-70.,all disclosed
ocd-division/country:ca/cd:3530,93013,13,personal,public,Information pertaining to FBA overpayment for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93014,14,personal,public,Personal Information for {name removed} in Competition File 93-070.,all disclosed
ocd-division/country:ca/cd:3530,93015,15,general,public,General Information in Competition File 93-070.,disclosed in part
ocd-division/country:ca/cd:3530,93016,16,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93017,17,personal,public,Supervisor/Manager notes for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93018,18,general,public,"General Information in Caseworker I, Income Maintenance Competition File.",nothing disclosed
ocd-division/country:ca/cd:3530,93019,19,personal,public,"Personal Information for {name removed} in Caseworker I, Income Maintenance Competition File.",all disclosed
ocd-division/country:ca/cd:3530,93020,20,general,public,General Information in Competition Files 93-163 through 93-167.,disclosed in part
ocd-division/country:ca/cd:3530,93021,21,personal,public,Personal Information for {name removed} in Competition Files 93-163 through 93-167.,all disclosed
ocd-division/country:ca/cd:3530,93022,22,general,business,"Sewer surcharge information for companies paying surcharge, BOD levels and values, surcharge cost and volumes for 1991 and 1992.",disclosed in part
ocd-division/country:ca/cd:3530,93023,23,general,public,General Information in Competition File 93-199.,disclosed in part
ocd-division/country:ca/cd:3530,93024,24,personal,public,Personal Information for {name removed} in Competition File 93-199.,all disclosed
ocd-division/country:ca/cd:3530,93025,25,personal,public,Interview notes and other records related to selection as Parental Support Worker for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93026,26,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93027,27,personal,public,A complete copy of Income Maintenance client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,93028,28,general,public,General Information in Competition File 93-228.,all disclosed
ocd-division/country:ca/cd:3530,93029,29,personal,public,Personal Information for {name removed} in Competition File 93-228.,all disclosed
ocd-division/country:ca/cd:3530,93030,30,general,public,General Information in Competition File 93-221.,disclosed in part
ocd-division/country:ca/cd:3530,93031,31,personal,public,Personal Information for {name removed} in Competition File 93-221.,all disclosed
ocd-division/country:ca/cd:3530,93032,32,personal,public,GWA client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93033,33,personal,public,"Immigration Sponsorship form in Income Maintenance Intake file for {name removed}, specifically the section completed by Immigration Canada.",all disclosed
ocd-division/country:ca/cd:3530,93034,34,personal,public,Letter from Victoria Park Community Homes Management to Income Maintenance regarding {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,93035,35,general,business,"Subdivision File 30T86014, R.P. 1503, circulation comments and planning reports by North Dumfries and Region of Waterloo.",all disclosed
ocd-division/country:ca/cd:3530,93036,36,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93037,37,personal,public,Supervisor's notes held by {name removed} in Waste Management for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93038,38,general,public,General Information in Competition File 93-200.,disclosed in part
ocd-division/country:ca/cd:3530,93039,39,personal,public,Personal Information for {name removed} in Competition File 93-200.,all disclosed
ocd-division/country:ca/cd:3530,93040,40,personal,public,GWA client file for {name removed} benefits terminated due to OSAP.,all disclosed
ocd-division/country:ca/cd:3530,93041,41,personal,public,A complete copy of Income Maintenance client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,93042,42,general,business,Results of 6 quotations from 1986 to 1992.,disclosed in part
ocd-division/country:ca/cd:3530,93043,43,general,public,List of swimming pools inspected by Healthy Environments.,abandoned
ocd-division/country:ca/cd:3530,93043,43,general,public,General Information in Competition File 93-253.,disclosed in part
ocd-division/country:ca/cd:3530,93044,44,personal,public,Personal Information for {name removed} in Competition File 93-253.,all disclosed
ocd-division/country:ca/cd:3530,93045,45,general,public,General Information in Competition File 93-297. ,disclosed in part
ocd-division/country:ca/cd:3530,93046,46,personal,public,Personal Information for {name removed} in Competition File 93-297.,all disclosed
ocd-division/country:ca/cd:3530,93047,47,general,public,"General Information in Competition Files 93-294, 93-295, and 93-310.",disclosed in part
ocd-division/country:ca/cd:3530,93048,48,personal,public,"Personal Information for {name removed} in Competition Files 93-294, 93-295, and 93-310.",all disclosed
ocd-division/country:ca/cd:3530,93049,49,general,public,General Information in Competition File 93-308.,disclosed in part
ocd-division/country:ca/cd:3530,93050,50,personal,public,Personal Information for {name removed} in Competition File 93-308.,all disclosed
ocd-division/country:ca/cd:3530,93051,51,personal,public,"Human Resources File Personal File for {name removed}, including Employee Relations notes.",disclosed in part
ocd-division/country:ca/cd:3530,93052,52,personal,public,Notes held by Manager and Director for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93053,53,personal,public,Supervisor's and Manager's notes for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93054,54,personal,public,Supervisor's and Director's notes for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93055,55,personal,public,Supervisor's and Manager's notes for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93056,56,general,business,"Restaurant inspection reports for {location removed}, Waterloo.",disclosed in part
ocd-division/country:ca/cd:3530,93057,57,personal,public,Home Child Care Provider File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93058,58,personal,public,Personal Information for {name removed in Competition File 93-188.,disclosed in part
ocd-division/country:ca/cd:3530,93059,59,general,public,Records regarding septic/sewer application for {address removed}.,disclosed in part
ocd-division/country:ca/cd:3530,93060,60,personal,public,Income Maintenance client file for {name removed} regarding SARB Appeal due to OSAP.,abandoned
ocd-division/country:ca/cd:3530,94001,1,general,public,Quotation Q93-1233 including bidders and bid values as well as the winning bid prices.,disclosed in part
ocd-division/country:ca/cd:3530,94002,2,general,public,Groundwater chemistry data supplied by {company name removed} to the Region of Waterloo.,abandoned
ocd-division/country:ca/cd:3530,94003,3,general,public,"Competition Files 93-390,93-391,and 93-392.",disclosed in part
ocd-division/country:ca/cd:3530,94004,4,personal,public,"Personal Information for {name removed} from Competition Files 93-390,93-391,and 93-392.",all disclosed
ocd-division/country:ca/cd:3530,94005,5,personal,public,Human Resources Personal File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94006,6,general,public,Food and beverage receipts for Waterloo Regional Police Service.,abandoned
ocd-division/country:ca/cd:3530,94007,7,personal,public,FBA application for {name removed} and payment summary for 1992. ,all disclosed
ocd-division/country:ca/cd:3530,94008,8,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,94009,9,personal,public,Home Child Care Provider File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94010,10,general,public,Health Inspection reports for {location removed} from Oct. 28/92 to April 1993.,all disclosed
ocd-division/country:ca/cd:3530,94011,11,general,public,"Pay equity information: 1) Job descriptions, 4 positions 2) pay equity plan 3) name, address of consultant.",disclosed in part
ocd-division/country:ca/cd:3530,94012,12,personal,public,Records from FBA client file for {name removed} regarding overpayments from July 1993 to present.,all disclosed
ocd-division/country:ca/cd:3530,94013,13,general,public,Fire Inspection records.,transferred
ocd-division/country:ca/cd:3530,94014,14,general,public,Hydro Meter records.,transferred
ocd-division/country:ca/cd:3530,94015,15,personal,public,A complete copy of Income Maintenance client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94016,16,general,public,Food Poisoning Records regarding {location removed} since January 1992.,disclosed in part
ocd-division/country:ca/cd:3530,94017,17,general,business,"Assessment roll information for Kitchener, Waterloo and Cambridge.",all disclosed
ocd-division/country:ca/cd:3530,94018,18,general,public,"Geotechnical report for septic system at {addresses removed}, Cambridge.",disclosed in part
ocd-division/country:ca/cd:3530,94019,19,general,public,Inspection records for {location removed} for the last 6 years.,abandoned
ocd-division/country:ca/cd:3530,94020,20,personal,public,Home Child Care Provider File for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94021,21,general,public,General Information in Competition File 93-374.,disclosed in part
ocd-division/country:ca/cd:3530,94022,22,personal,public,Personal Information for {name removed} in Competition File 93-374.,all disclosed
ocd-division/country:ca/cd:3530,94023,23,general,public,1) Employment Equity Targeting of Position 2) Grievance Process regarding management hiring 3) Start date of employee.,disclosed in part
ocd-division/country:ca/cd:3530,94024,24,general,business,Prices for quotation Q94-1149 regarding heavy equipment rental.,disclosed in part
ocd-division/country:ca/cd:3530,94025,25,personal,public,A complete copy of Income Maintenance client file for {name removed}.,all disclosed
ocd-division/country:ca/cd:3530,94026,26,personal,public,"Any records regarding {name removed"" and sexually transmitted diseases held by Public Health.",nothing disclosed
ocd-division/country:ca/cd:3530,94027,27,personal,public,A complete copy of Income Maintenance client file for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94028,28,personal,public,A complete copy of Income Maintenance client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,94029,29,general,public,Various records regarding intersection {intersection removed}.,all disclosed
ocd-division/country:ca/cd:3530,94030,30,personal,public,Personal Information for {name removed} in two job competition files.,all disclosed
ocd-division/country:ca/cd:3530,94031,31,general,business,Results of water tests for wells at {location removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94032,32,personal,public,Statements and submissions related to harassment investigation.,disclosed in part
ocd-division/country:ca/cd:3530,94033,33,personal,public,Human Resources Personal File for {name removed}. ,all disclosed
ocd-division/country:ca/cd:3530,94034,34,personal,public,Personal information held by supervisors in Engineering Department for {name removed}.,disclosed in part
ocd-division/country:ca/cd:3530,94035,35,general,public,Results of other applicants on screening and information sheets for Competition Files 94-71 and 94-212.,disclosed in part
ocd-division/country:ca/cd:3530,94036,36,general,public,Other applicants scores on screening and interviewing sheets for Competition File 94-235.,disclosed in part
ocd-division/country:ca/cd:3530,94037,37,personal,public,Personal Information for {name removed} in Competition File 94-235.,disclosed in part
ocd-division/country:ca/cd:3530,94038,38,general,public,Interview questions for Competition File 94-225.,disclosed in part
ocd-division/country:ca/cd:3530,94039,39,personal,public,Personal information for {name removed} in Competition File 94-225.,all disclosed
ocd-division/country:ca/cd:3530,94040,40,personal,public,Correction to 10 items in Home Childcare Provider File for {name removed}.,correction
ocd-division/country:ca/cd:3530,94041,41,general,public,General information in Competition File 94-227.,disclosed in part
ocd-division/country:ca/cd:3530,94042,42,personal,public,Personal information for {name removed} in Competition File 94-227.,disclosed in part
ocd-division/country:ca/cd:3530,94043,43,general,business,Names and addresses of specified types of food-related businesses.,abandoned
ocd-division/country:ca/cd:3530,94044,44,personal,public,A complete copy of GWA client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,94045,45,general,public,Request on dog bite incident.,disclosed in part
ocd-division/country:ca/cd:3530,94046,46,personal,public,A complete copy of Income Maintenance client file for {name removed}.,abandoned
ocd-division/country:ca/cd:3530,94047,47,general,public,Road conditions and snow clearing operations.,abandoned
ocd-division/country:ca/cd:3530,94048,48,personal,public,Personal Information for {name removed} in Competition File 94-277. ,disclosed in part
ocd-division/country:ca/cd:3530,94049,49,personal,public,Statement indicating why not accepted for job interview.,abandoned
ocd-division/country:ca/cd:3530,94050,50,general,public,Quotation File Q94-1194.,disclosed in part
ocd-division/country:ca/cd:3530,94051,51,general,public,Confirmation of ownership status of {name removed} in a cab company.,all disclosed
ocd-division/country:ca/cd:3530,94052,52,general,public,Screening and interview notes/results in Competition Files 94-274 and 94-291.,disclosed in part
ocd-division/country:ca/cd:3530,94053,53,personal,public,Personal Information for {name removed} in Competition Files 94-274 and 94-291.,disclosed in part
ocd-division/country:ca/cd:3530,94054,54,personal,public,Statement giving reason requester is not acceptable for employment.,disclosed in part
