name,email,url
Blue Water Bridge Canada,atip@bwbc.gc.ca,http://bwbc.gc.ca/transparency/access_to_information_requests
British Columbia Treaty Commission,msmith@bctreaty.ca,
Canada Lands Company CLC Limited,gbarker@clc.ca,http://en.clc.ca/info-privacy
Canada Post Corporation,privacy@canadapost.postescanada.ca,https://www.canadapost.ca/cpo/mc/aboutus/corporate/aticompletedrequests.jsf
Canada-Nova Scotia Offshore Petroleum Board,atip@cnsopb.ns.ca,http://www.cnsopb.ns.ca/media/access-information
Canadian Artists and Producers Professional Relations Tribunal,seguin.suzanne@capprt-tcrpap.gc.ca,
Canadian Centre for Occupational Health and Safety,frank.leduc@ccohs.ca,http://www.ccohs.ca/ccohs/reports/ati/
Canadian Institutes of Health Research,atipcoordinator@cihr-irsc.gc.ca,http://cihr-irsc.gc.ca/e/44707.html
Canadian Polar Commission,bennettj@polarcom.gc.ca,http://www.polarcom.gc.ca/node/77
Canadian Race Relations Foundation,atavassoli@crrf-fcrr.ca,http://www.crrf-fcrr.ca/en/about-us/transparency/access-to-information-act-and-privacy-acts/completed-to-access-to-information-request
Canadian Wheat Board,dayna_spiring@cwb.ca,
Enterprise Cape Breton Corporation,da.landry@ecbc.ca,http://www.ecbc.ca/index.php?lang=e&cid=8&pid=301
Federal Bridge Corporation Limited,jpigeon@federalbridge.ca,http://www.pontscanadabridges.ca/en/who-we-are/transparency/completed-access-to-information-requests/
First Nations Financial Management Board,mail@fnfmb.com,http://www.fnfmb.com/completed-access-to-information-requests/
First Nations Statistical Institute,mgarrow@firststats.ca,
Freshwater Fish Marketing Corporation,atipcontrol@freshwaterfish.com,http://www.freshwaterfish.com/content/pages/completed-access-information-requests
Gwich'in Land and Water Board,l.debastien@glwb.com,
Gwich'in Land Use Planning Board,planner@gwichinplanning.nt.ca,
Halifax Port Authority,humanresources@portofhalifax.ca,http://portofhalifax.ca/about-us/accountability/access-information-requests/
Hamilton Port Authority,bhart@hamiltonport.ca,http://www.hamiltonport.ca/Corporate/Regulatory/AccesstoinformationRequests.aspx
Historic Sites and Monuments Board of Canada,julie.dompierre@pc.gc.ca,
Indian Residential Schools Resolution Canada,joanne.quenneville@ainc-inac.gc.ca,
Laurentian Pilotage Authority Canada,claude.lambert@apl.gc.ca,http://www.pilotagestlaurent.gc.ca/files/pdf/financial-reports/Completed-Access-to-Information-Requests-151204.pdf
Mackenzie Valley Environmental Impact Review Board,atipcoordinator@reviewboard.ca,http://www.reviewboard.ca/about/access_information_requests.php
Mackenzie Valley Land and Water Board,zabey@mvlwb.com,https://mvlwb.com/content/access-information-act-report
Nanaimo Port Authority,bdumas@npa.ca,http://portauthority.npa.ca/en/atip/
National Arts Centre,cmartin@nac-cna.ca,http://nac-cna.ca/en/legal/requests
Natural Sciences and Engineering Research Council of Canada,atip-aiprp@nserc-crsng.gc.ca,http://www.nserc-crsng.gc.ca/ATIP-AIPRP/ATI-AIP/index_eng.asp
Northwest Territories Water Board,info@nwtwb.com,http://www.nwtwb.com/ATIA.html
Nunavut Water Board,atip-aiprp@nwb-oen.ca,http://www.nwb-oen.ca/site/atip_summary_report
Oshawa Port Authority,portoshaw@bellnet.ca,
Pacific Pilotage Authority Canada,swoloszyn@ppa.gc.ca,http://ppa.gc.ca/text/access_to_information_requests-e.html
Pension Appeals Board,steve.gauthier@pab-cap.gc.ca,
PPP Canada Inc.,atip-aiprp@p3canada.ca,http://www.p3canada.ca/en/about-us/transparency-and-accountability/completed-access-to-information-requests/
Prince Rupert Port Authority,accesstoinformation@rupertport.com,http://legacy.rupertport.com/portauthority/accesstoinformation
Quebec Port Authority,pascal.raby@portquebec.ca,http://www.portquebec.ca/demande-dacces-a-linformation
Ridley Terminals Inc.,atip@rti.ca,http://www.rti.ca/atip
Sahtu Land and Water Board,patricia.mcneely@slwb.com,https://slwb.com/resources/access-information-act-reports
Sahtu Land Use Planning Board,exec_director@sahtulanduseplan.org,https://sahtulanduseplan.org/access-information
Saint John Port Authority,pcopeland@sjport.com,https://www.sjport.com/corporate-profile/corporate-governance/information-monthly-reports/
St. John's Port Authority,info@sjpa.com,http://www.sjpa.com/pages.aspx?id=79
Thunder Bay Port Authority,tbport@tbaytel.net,http://www.portofthunderbay.com/article/completed-access-to-information-requests-269.asp
Toronto Port Authority,jmccarthy@torontoport.com,http://www.portstoronto.com/About-TPA/Accountability/Completed-Access-to-Information-Requests.aspx
Truth and Reconciliation Commission of Canada,maryanne.boulton@trc.ca,
Windsor Port Authority,info@portwindsor.com,http://www.portwindsor.com/ecom.asp?pg=completed-access-to-information-requests
Windsor-Detroit Bridge Authority,linda.hurdle@wdbridge.com,https://www.wdbridge.com/en/transparency
